1	0	u	b	7.06289
1	0	u	k	6.73966
1	0	u	<sil>	4.88039
1	0	u	u	0.0838799
1	0	u	g	6.96281
1	0	u	j	8.56041
1	0	u	a	4.24135
1	0	t	e	5.89044
1	0	t	c	6.63238
1	0	t	v	7.43088
1	0	t	w	5.57343
1	0	t	y	5.62685
1	0	t	a	5.76388
1	0	t	t	0.103297
1	0	t	m	5.76388
1	0	t	b	6.19412
1	0	t	j	5.89044
1	0	t	u	6.35727
1	0	t	f	6.61585
1	0	t	g	6.1316
1	0	t	s	4.59332
1	0	t	<sil>	5.28864
1	0	t	x	9.34043
1	0	t	i	5.73629
1	0	t	k	4.26057
1	0	t	p	5.59682
1	0	t	z	5.74311
1	0	t	d	5.55057
1	0	t	o	6.37001
1	0	t	q	10.0336
1	0	t	h	4.59767
1	0	t	n	4.74783
1	0	t	l	5.62077
1	0	t	r	6.1116
1	0	w	b	5.41378
1	0	w	y	4.89631
1	0	w	g	6.07413
1	0	w	c	6.5994
1	0	w	l	5.28372
1	0	w	n	4.36451
1	0	w	a	5.52533
1	0	w	i	5.70889
1	0	w	t	5.09735
1	0	w	p	5.18178
1	0	w	s	4.98996
1	0	w	f	6.15239
1	0	w	m	4.86373
1	0	w	z	6.18789
1	0	w	h	4.15154
1	0	w	<sil>	5.41935
1	0	w	j	6.54629
1	0	w	x	10.6067
1	0	w	u	4.63038
1	0	w	w	0.130799
1	0	w	k	5.25015
1	0	w	v	6.91785
1	0	w	o	5.19509
1	0	w	d	6.31627
1	0	w	r	5.65091
1	0	w	e	5.81094
1	0	v	y	5.58725
1	0	v	n	4.07312
1	0	v	h	4.76627
1	0	v	w	5.73385
1	0	v	j	6.11334
1	0	v	l	4.56742
1	0	v	o	6.2804
1	0	v	x	8.67829
1	0	v	c	7.06885
1	0	v	i	5.27709
1	0	v	s	4.53516
1	0	v	r	5.9057
1	0	v	v	0.161898
1	0	v	e	4.8941
1	0	v	k	4.74647
1	0	v	d	4.94062
1	0	v	u	4.72705
1	0	v	<sil>	4.8941
